rp_1,Madame Luck
rp_2,Medusa Money
rp_3,Dragon Prophecy
rp_4,Piggy Gold
rp_5,Hot & Heavy
rp_6,Macau Beauties
rp_7,Dragon Ladies
rp_8,Lady Phoenix
rp_9,Wild Thirst
rp_10,Book of Riches
rp_11,Bamboo Fortune
rp_12,Sheerluck
rp_13,Rio Pleasures
rp_14,Dragoness
rp_15,Brilliant Gems
rp_16,Immortal Empress
rp_17,Savage Lion
rp_18,Gallantry
rp_19,Vegas Hotties
rp_20,Loco Habanero
rp_22,Book of Riches Deluxe
rp_23,Quest of Gods
rp_25,Shake Shake Money Tree
rp_27,New Year Happiness
rp_31,Pirate's Booty
rp_30,Reel All-Stars
rp_24,Arcane Beauties
rp_32,Mayan Cache
rp_28,Egyptian Sun
rp_33,Dragon 8s 25x
rp_34,Sun of Ra
rp_29,#Alice in the Wild
rp_35,Shake Shake Leprechaun
rp_26,Wolf Haven
rp_21,Dr. Frankenstein
rp_36,He He Yang
rp_37,Blazing Tiger
rp_38,Zeus Rush Fever
rp_39,N/A
rp_40,Christmas Fortune
rp_41,Prosperity Journey
rp_42,Elephant Stampede
rp_43,Dawn of the Incas
rp_44,Rush Fever 7s
rp_45,Silver & Gold Mine
rp_46,Book of 8 Riches
rp_47,African Cats
rp_48,Grand Express Action Class
rp_49,Bull Fever
rp_50,Enter the Vault
rp_51,Adventures of Li'l Red
rp_52,Vegas No Limit Wins
rp_55,Grand Express Diamond Class
rp_54,Feliz Dia de los Muertos
rp_53,#Alice and the Mad Respin Party
rp_56,Wizard's Spell
rp_57,Clovers of Luck
rp_58,Volcano Rising
rp_59,Ancient Pharaoh
rp_61,Shake Shake Christmas
rp_62,New Year Rising
rp_60,Mucho Loco Habanero
rp_63,Book of Riches Deluxe: Chapter 2
rp_67,Roman Legend
rp_65,Mayan Blaze
rp_66,More Dragon Ladies
rp_68,Zeus Rush Fever Deluxe
rp_69,Viking Crusade
rp_70,Golden Forge
rp_72,Diamond Explosion 7s
rp_71,Arabian Secret
rp_73,Rush Fever 7s Deluxe
rp_75,N/A
rp_74,Grand Mariachi
rp_76,Native Spirit
rp_77,Clovers of Luck 2
rp_78,Tiki Blaze
rp_79,Royal Griffin
rp_80,Prosperity Blessing
rp_83,Rockin' Gorilla
rp_81,Cache Rush
rp_84,Vegas Repeat Wins
rp_87,True Wild
rp_88,Immortal Ways Diamonds
rp_85,Prince of Riches
rp_93,Immortal Ways Buffalo
rp_89,Grand Express Fiesta
rp_95,Immortal Ways Piñata
rp_91,ZapOtec Gold
rp_586,ZapOtec Gold 94
rp_587,ZapOtec Gold 90
rp_588,ZapOtec Gold 88
rp_97,Stampede Rush Wicked
rp_592,Stampede Rush Wicked 94
rp_593,Stampede Rush Wicked 90
rp_594,Stampede Rush Wicked 88
rp_96,Mad Hit Oasis
rp_601,Mad Hit Oasis 94
rp_603,Mad Hit Oasis 90
rp_604,Mad Hit Oasis 88
